season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2020,REG,0,Darnell Mooney,WR,CHI,7.627528089887639,3.219063439899961,11.735408163265308,24.443830433904726,61,98,62.244897959183675,631,4,4.420327868852459,3.913009332045077,0.5073185368073818,00-0036309,Darnell,Mooney,11,D.Mooney
2020,REG,0,Marquise Brown,WR,BAL,7.455670103092784,3.2657447915639746,13.7479,39.29554477661,58,100,57.99999999999999,769,8,4.845344827586208,3.9452549879208303,0.900089839665378,00-0035662,Marquise,Brown,15,M.Brown
2020,REG,0,Braxton Berrios,WR,NYJ,7.141666666666669,3.4232456805472795,7.707999999999999,10.551913302768275,37,55,67.27272727272727,394,3,6.172702702702703,5.614923465065718,0.5577792376369857,00-0034419,Braxton,Berrios,10,B.Berrios
2020,REG,0,Laviska Shenault,WR,JAX,7.064571428571428,3.3113755128203817,6.410253164556963,10.524161034772273,58,79,73.41772151898735,600,5,5.222068965517241,4.135107233952494,1.086961731564747,00-0036268,Laviska,Shenault,10,L.Shenault Jr.
2020,REG,0,Henry Ruggs,WR,LV,6.963589743589743,3.3474026702350383,16.91953488372093,16.759964431666877,26,43,60.46511627906976,452,2,5.998076923076923,5.830800013385136,0.167276909691787,00-0036357,Henry,Ruggs,11,H.Ruggs
2020,REG,0,Cam Sims,WR,WAS,6.951458333333334,3.524658652918649,10.934166666666664,14.712940121103383,32,48,66.66666666666666,477,1,8.1090625,6.534060819299294,1.575001680700706,00-0034104,Cam,Sims,89,C.Sims
2020,REG,0,Robert Woods,WR,LAR,6.900932203389832,3.412091120112341,7.077906976744186,23.93202941931967,90,129,69.76744186046511,936,6,5.669888888888889,5.6809471082835366,-0.011058219394647573,00-0030431,Robert,Woods,17,R.Woods
2020,REG,0,Curtis Samuel,WR,CAR,6.805316455696203,3.4736244562708243,7.058041237113399,17.125040334381396,77,97,79.38144329896907,851,3,4.562987012987013,4.750230308130197,-0.18724329514318416,00-0033282,Curtis,Samuel,10,C.Samuel
2020,REG,0,Corey Davis,WR,TEN,6.780000000000001,2.4113056853050225,12.291956521739127,28.83890546502435,65,92,70.65217391304348,984,5,4.483076923076923,4.009703065934937,0.4733738571419863,00-0033871,Corey,Davis,84,C.Davis
2020,REG,0,Deebo Samuel,WR,SF,6.7425,4.600052300394679,2.1068181818181824,2.4829980259228215,33,44,75,391,1,12.26939393939394,7.829263438360282,4.440130501033657,00-0035719,Tyshun,Samuel,19,D.Samuel
2020,REG,0,David Moore,WR,SEA,6.7174999999999985,4.093774476688737,9.268723404255319,9.519033478206715,35,47,74.46808510638297,417,6,5.173428571428572,4.939943064390679,0.2334855070378934,00-0033589,David,Moore,83,D.Moore
2020,REG,0,Brandin Cooks,WR,HOU,6.692454545454546,2.98471534645348,12.028319327731094,30.35142144067312,81,119,68.0672268907563,1143,6,4.31851851851852,3.6840213303668206,0.6344971881516992,00-0031236,Brandin,Cooks,13,B.Cooks
2020,REG,0,Tre'Quan Smith,WR,NO,6.68046511627907,3.48478929892355,9.507600000000002,14.565453849099963,34,50,68,448,4,3.8561764705882355,2.816011810787653,1.0401646598005825,00-0034765,Tre'Quan,Smith,10,T.Smith
2020,REG,0,Danny Amendola,WR,DET,6.6725,3.434480311159918,8.304202898550727,11.629474026039922,46,69,66.66666666666666,602,0,6.553260869565216,5.3927635456185214,1.1604973239466947,00-0026035,Daniel,Amendola,80,D.Amendola
2020,REG,0,Marvin Jones,WR,DET,6.660892857142858,2.534076486766279,12.866695652173915,30.03156046721669,76,115,66.08695652173913,978,9,2.785526315789473,2.5257713122185725,0.25975500357090064,00-0029293,Marvin,Jones,11,M.Jones
2020,REG,0,Dalton Schultz,TE,DAL,6.64758064516129,3.065083673481527,6.737191011235955,12.932579592488185,63,89,70.78651685393258,615,4,4.491746031746032,3.537218499951903,0.9545275317941284,00-0034383,Dalton,Schultz,86,D.Schultz
2020,REG,0,Hunter Renfrow,WR,LV,6.631029411764706,3.4774215288126973,6.841688311688312,12.135850760434378,56,77,72.72727272727273,656,2,6.495892857142856,5.711909292429368,0.7839835647134876,00-0034983,Hunter,Renfrow,13,H.Renfrow
2020,REG,0,Demarcus Robinson,WR,KC,6.608245614035088,4.223176900745077,9.587118644067798,11.274062321862086,45,59,76.27118644067797,466,3,3.8628888888888886,3.606818772123952,0.25607011676493663,00-0032775,Demarcus,Robinson,11,D.Robinson
2020,REG,0,Jakeem Grant,WR,MIA,6.589245283018868,3.1467739735857205,10.117777777777778,12.85964449800407,36,54,66.66666666666666,373,1,4.79888888888889,3.566878852747293,1.232010036141597,00-0032791,Jakeem,Grant,19,J.Grant
2020,REG,0,Amari Cooper,WR,DAL,6.584806201550388,2.5315409526690535,9.109692307692306,25.542497136805682,92,130,70.76923076923077,1114,5,4.61,3.686975072735396,0.9230249272646045,00-0031544,Amari,Cooper,19,A.Cooper
2020,REG,0,Keelan Cole,WR,JAX,6.579012345679012,3.2609386382485877,11.389204545454543,20.82865740625285,55,88,62.5,642,5,3.462727272727273,3.1027833960442943,0.35994387668297856,00-0033681,Keelan,Cole,84,K.Cole Sr.
2020,REG,0,Golden Tate,WR,NYG,6.578958333333335,2.1363611776062816,9.095,12.06861354101808,35,52,67.3076923076923,388,2,2.4134285714285713,2.531959030125854,-0.11853045869728263,00-0027891,Golden,Tate,15,G.Tate III
